End_date,Title,Description,Posted_date,Comments_count,Bookmarks_count,Shares_count,Posted_year,Posted_month,Posted_month_year,End_year,End_month,End_month_year
2016-01-06,Expired Extra 50% Off Sale Items @ adidas,"adidas offers an Extra 50% Off Sale Items.(discount as shown in cart)
Free shipping.
Deal ends 1/6.",2015-12-20,11.0,19.0,6.0,2015,12,2015-12,2015,1,2015-01
2015-06-17,Expired Up to $40 Off Jeremy Scott x adidas Originals @ adidas / Expired Up to $40 Off Sitewide @ adidas,"adidas offers Up to $40 Off Jeremy Scott x adidas Originals via coupon code ""SAVEMORE"".
$10 off with orders over $50, $25 off with orders over $100, $40 off with orders over $150.
Free Shipping on orders over $49.
Deal expires 6/17 at 03:00 am EST. / adidas offers Up to $40 Off Sitewide via coupon code ""SAVEMORE"".
$10 off with orders over $50, $25 off with orders over $100, $40 off with orders over $150.
Some exclusions apply including but not limited to Ultra Boost, Pure Boost 2, Stan Smith, miCoach hardware, and gift cards.
Free Shipping on orders over $49.
Deal expires 6/17 at 03:00 am EST.",2015-06-13,93.0,111.0,0.0,2015,6,2015-06,2015,6,2015-06
2015-06-30,Expired Up to 50% Off +Extra 20% Off End of Season Sale @ adidas / Expired Adidas Men's Originals Samba Modern Classic Shoes / Expired adidas Originals Men's Samba Modern Classic Shoes,"adidas offers Up to 50% Off +Extra 20% Off End of Season Sale via coupon code ""EXTRA20"".
Shipping fee starts from $5, or free shipping on orders over $49.
Deal ends 6/30. / adidas offers the Adidas Men's Originals Samba Modern Classic Shoes for $25.59 via coupon code ""EXTRA20"".
Deal expires 6/30. / adidas offers the adidas Originals Men's Samba Modern Classic Shoes in 5 colors for $25.59 via coupon code ""EXTRA20"".
Shipping fee is $5.
Deal ends 6/30.",2015-06-25,290.0,352.0,0.0,2015,6,2015-06,2015,6,2015-06
2015-07-30,Expired Up to 50% Off + Extra 20% Off Sale Items @ adidas / Expired Extra 20% Off Adidas Originals Sale @ adidas / Expired Extra 20% Off Stan Smith Shoes @ adidas / Expired Up to 40% off + Extra 20% off Rita Ora Collection @ adidas / Expired 40% Off+Extra 20% Off The adidas Originals X Farm Company @ adidas,"adidas offers up to 50% Off Man's, Women's and Kid's sale items.
Plus, get an Extra 20% Off via coupon code ""HURRY20"".
Free shipping on orders over $49.
Deal expires 7/30.

Include: Adidas Originals| Rita Ora| Topshop| Stan Smith| Rose / adidas offers an Extra 20% Off Adidas Originals Sale via coupon code ""HURRY20"".
Free Shipping on orders over $49.
Exclusions apply.
Deal ends 7/30. / adidas offers an Extra 20% Off Stan Smith Shoes via coupon code ""HURRY20"".
Free Shipping on orders over $49.
Deal ends 7/30. / adidas offers an Up to 40% off + Extra 20% off Rita Ora Collection via coupon code ""HURRY20"".
Free Shipping on orders over $49.
Deal ends 7/30. / adidas offers 40% Off+Extra 20% Off The adidas Originals X Farm Company via coupon code ""HURRY20"".
Free Shipping on orders over $49.
Deal ends 7/30.",2015-07-20,84.0,379.0,1.0,2015,7,2015-07,2015,7,2015-07
2015-08-04,Expired Up to 40% Off + Extra 20% Off adidas Originals Sale @ adidas / Expired Up to 50% Off + Extra 20% Off Sale Items @ adidas,"adidas offers an Up to 40% Off + Extra 20% Off adidas Originals Sale via coupon code ""HURRY20"".
Free Shipping on orders over $49.
Deal ends 8/4. / adidas offers up to 50% Off Man's, Women's and Kid's sale items.
Plus, get an Extra 20% Off via coupon code ""HURRY20"".
Free shipping on orders over $49.
Deal expires 8/4.

Include: Adidas Originals| Rita Ora| Topshop| Stan Smith| Rose",2015-07-28,19.0,169.0,0.0,2015,7,2015-07,2015,8,2015-08
2015-08-16,Expired Up to 40% Off + Extra 30% Off adidas Hoodie Sale @ adidas / Expired Extra 30% Off Friends & Family Sale @ adidas / Expired Adidas Men's Originals Wings 2.0 Mesh Shoes / Expired adidas Originals Men's ZX Flux Shoes / Expired Extra 30% Off adidas Originals Shoes Sale @ adidas,"adidas offers an Up to 40% Off + Extra 30% Off adidas Hoodie Sale via coupon code ""FRIENDS30"".
Free Shipping on orders over $49.
Deal expires 8/16. / adidas offers an Extra 30% Off Friends & Family Sale via coupon code ""FRIENDS30"".
Exclusions apply.
Free Shipping on orders over $49.
Deal ends 8/16. / adidas offers the Adidas Men's Originals Wings 2.0 Mesh Shoes for $154 via coupon code ""FRIENDS30"".
Free Shipping on orders over $49.
Deal ends 8/16.

Features：Scott puts his signature Wings shoes in a jersey-inspired mesh upper with reflective 3-Stripes, piping details, laces and a zip closure. 
  / adidas offers the adidas Originals Men's ZX Flux Shoes in 20 colors, for $37.79 via coupon code ""FRIENDS30"".
Shipping is $5.
Deal expires 8/16. / adidas offers an Extra 30% Off adidas Originals shoes Sale via coupon code ""FRIENDS30"".
Free Shipping on orders over $49.
Deal ends 8/16.",2015-08-10,121.0,396.0,0.0,2015,8,2015-08,2015,8,2015-08
2015-09-07,Expired $20 Off with $99 Purchase @ adidas,"adidas offers the $20 Off with $99 Purchase via coupon code ""TAKE20"".
Free Shipping on orders over $49.
Deal ends 9/7.",2015-08-31,13.0,114.0,0.0,2015,8,2015-08,2015,9,2015-09
2015-11-28,Expired 20% Off Mi adidas @ adidas,"adidas offers 20% off Mi adidas via coupon code ""CUSTOM"".
Free shipping.
Deal expires 11/28.",2015-11-21,8.0,77.0,5.0,2015,11,2015-11,2015,11,2015-11
2015-12-01,Expired Up to $40 Off Sitewide Sale @ adidas,"adidas offers $15 off $75 / $25 off $100 / $40 off $150 Sitewide Sale via coupon code ""CYBER"".
Exclusions apply.
Free Shipping on orders over $49.
Deal ends 12/1.",2015-11-28,60.0,264.0,34.0,2015,11,2015-11,2015,12,2015-12
2015-12-02,Expired Up to $40 Off Sitewide @ adidas,"adidas offers Up to $40 Off Sitewide via coupon code ""CYBER"".
$15 Off with orders over $75, $25 Off with orders over $100, $40 Off with orders over $150.
Exclusions apply.
Free Shipping.
Deal expires 12/2 at 03:00 am EST.",2015-11-26,71.0,281.0,35.0,2015,11,2015-11,2015,12,2015-12
