Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
ClubMonaco,Extra 30% Off + Up to 60% Off Sale @Club Monaco,"Club Monaco offers an extra 30% off + Up to 60% Off Sale.
Free shipping on orders over $150.
$62.30 $189.50
Club Monaco Prudeen Pant
$69.30 $179.50
Club Monaco Robetta Skirt
$125.30 $229.00
Club Monaco Jessyn Colorblock Pant",06/24/2019,,4,45,18
ClubMonaco,Up to 60% off + extra 30% Off Men‘s Sale @Club Monaco,"Club Monaco offers an Men‘s Sale Up to 60% off + extra 30% off.
Free shipping on orders over $150.
$55.30 $98.50
Club Monaco Slim Linen Shirt
$41.30 $79.50
Club Monaco Slim Short-Sleeve Floral Shirt
$55.30 $98.50
Club Monaco Slim Slub Chambray Shirt",06/13/2019,,,4,6
ClubMonaco,Shop Steals Summer Essentials @Club Monaco,"Club Monaco offers shop steals Summer Essentials.
Free shipping on orders over $150.
$119.00 $179.50
Club Monaco Lettee Cotton Skirt
$99.00 $198.50
Club Monaco Wikendah Dress
$79.00 $169.50
Club Monaco Jalilla Skirt",06/07/2019,,2,9,2
ClubMonaco,Expired 20% Off Pants Sale @Club Monaco,"Club Monaco offers 20% off Bottoms Sale.
Free shipping on orders over $150.
$143.20 $229.00
Club Monaco Jessyn Colorblock Pant
$71.20 $189.50
Club Monaco Prudeen Pant
$119.20 $188.00
Club Monaco Yunii Pant",06/01/2019,,1,9,3
ClubMonaco,Expired Up to 50% off +Extra 20% off Women Bottoms @Club Monaco,"Club Monaco offers Women Bottoms. Up to 50% off + Extra 20% off. 
Free shipping on orders over $150.
  Credit to: @alyssainthecity / clubmonaco offical ins.
$63.20 $149.50
Club Monaco Remi Pant
$63.60 $79.50
Club Monaco Ashantii Short
$71.20 $169.50
Club Monaco Sveinn Pant",05/31/2019,,,9,2
ClubMonaco,Expired Last Day: 25% off Your purchase @Club Monaco,"Club Monaco offers 25% off Your purchase via coupon code ""SUMMERTIME"".
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 5/27.
Sale
New arrivals
Sale
$134.25 $279.00
Club Monaco Claudine Trench
Sale
$134.25 $229.00
Club Monaco Jessyn Colorblock Pant
Sale
$74.25 $179.50
Club Monaco Robetta Skirt",05/28/2019,05/27/2019,4,22,10
ClubMonaco,New Styles Added! Sale @Club Monaco,"Club Monaco offers new styles added Sale.
Free shipping on orders over $150, via coupon code ""FREESHIP"".
$179.00 $229.00
Club Monaco Jessyn Colorblock Pant
$229.00 $289.00
Club Monaco Symone Jumpsuit
$139.00 $198.50
Club Monaco Cahdell Romper",05/17/2019,,2,14,1
ClubMonaco,Expired Extra 30% Off Mid-Season Sale @ Club Monaco,"Club Monaco offers an extra 30% off Mid-Season Sale.
Free shipping on orders over $150 via coupon code ""FREESHIP"".
Deal ends 4/29 20:59.
Hot
Sale
man
Hot
$118.30 $229.00
Yolande Pant
Hot
$160.30 $279.00
Claudine Trench
Hot
$76.30 $149.00
Club Monaco Hylda Silk Top",04/30/2019,04/29/2019,70,366,124
ClubMonaco,Expired 20% Off Bottoms Sale @Club Monaco,"Club Monaco offers 20% off Bottoms Sale.
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 4/14.
$95.20 $198.50
Prudeen Pant
$183.20 $229.00
Jessyn Colorblock Pant
$135.60 $169.50
Club Monaco Anreannah Pant",04/14/2019,04/14/2019,3,56,13
ClubMonaco,Expired 20% Off Spring Favorites @Club Monaco,"Club Monaco offers 20% off Spring Favorites. (No code needed)
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 4/7.
$183.20 $229.00
Club Monaco Ceithan Dress
$111.60 $139.50
Club Monaco Tegen Shirt
$263.20 $329.00
Club Monaco Matie Trench",04/05/2019,04/07/2019,,6,3
ClubMonaco,Expired Get 25% Off Purchase of $150+ @ Club Monaco,"Club Monaco offers 25% off Purchase of $150+ via coupon code ""HELLOSPRING"".
Free shipping on orders over $150 via coupon code ""FREESHIP"".
Deal ends 4/1 23:59.
$148.88 $198.50
Club Monaco Pritha Dress
$216.75 $289.00
Galadreyel Dress
$142.13 $189.50
Joannah Pant",04/01/2019,04/01/2019,3,40,19
ClubMonaco,Expired Last Day: 25% Off Women's Dresses & Jumpsuits + Men's Shirts @ Club Monaco,"Club Monaco offers women's dresses & jumpsuits and men's shirts 25% off.
Shipping fee is $5 or free shipping on $150 or more with code FREESHIP.
Deal ends 3/25 23:59.
dress、jumpsuit
shirts
dress、jumpsuit
$209.25 $279.00
Club Monaco Veronikah Jumpsuit
dress、jumpsuit
$186.75 $249.00
Club Monaco Akinya Jumpsuit
dress、jumpsuit
$201.75 $269.00
Club Monaco Lynall Jumpsuit",03/25/2019,03/25/2019,4,7,15
ClubMonaco,Expired Extra 30% Off Sale Styles @ Club Monaco,"Club Monaco offers an extra 30% off Sale Styles.
Free shipping on orders over $150 via coupon code ""FREESHIP"".
Deal ends 3/17 23:59.
$104.30 $188.00
Sybill Pant
$97.30 $175.00
Club Monaco Teenie Sweater
$125.30 $198.50
Club Monaco Borrem Pant",03/16/2019,03/17/2019,2,20,7
ClubMonaco,Expired 25% off Full price purchase @Club Monaco,"Club Monaco offers 25% off full price purchase. via coupon code ""25OFF"".
Free shipping on orders over $150,  via coupon code ""FREESHIP"".
$119.63 $159.50
Helek Silk Shirt
$171.75 $229.00
Jessyn Colorblock Pant
$246.75 $329.00
Club Monaco Matie Trench",03/10/2019,,2,40,12
ClubMonaco,Expired Up To 60% Off Tops Sale @Club Monaco,"Club Monaco offers up to 60% off Tops Sale.
Free shipping on orders over $150, via coupon code ""FREESHIP"".
$79.00 $168.00
Club Monaco Rodvak Silk Top
$119.00 $148.00
Club Monaco Jadyn Shirt
$49.00 $139.50
Club Monaco Philli Shirt",03/01/2019,,1,8,6
ClubMonaco,Expired 25% Off Bottoms Sale @ Club Monaco,"Club Monaco offers 25% off bottoms sale 
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 2/25 23:59.
$111.75 $179.50
Club Monaco Tilli Skirt
$97.13 $129.50
Annabellah Sweatpant
$171.75 $229.00
Yolande Pant",02/25/2019,02/25/2019,5,65,22
ClubMonaco,Expired Last Day: 25% Off Your Purchase,"Club Monaco offers 25% off Your Purchase. via coupon code ""STARTFRESH"".
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 2/18
New Arrivals
Sale
New Arrivals
$209.25 $279.00
Claudine Trench
New Arrivals
$171.75 $229.00
Jessyn Colorblock Pant
New Arrivals
$201.75 $269.00
Club Monaco Teddiko Sweater Dress",02/19/2019,02/18/2019,18,174,28
ClubMonaco,Expired 25% Off Trench Coats and Outwear @,"Club Monaco offers new arrivals! Trench Coats and Outwear.
Plus, get 25% off sitewide, via coupon code ""STARTFRESH"".
Free shipping on orders over $150, via coupon code ""FREESHIP"".
$246.75 $329.00
Club Monaco Matie Trench
$321.75 $429.00
Club Monaco Janney Trench
$149.25 $298.50
Club Monaco Aaylina Trench",02/19/2019,,5,19,11
ClubMonaco,Expired Last Day: 25% Off Sale @Club Monaco,"Club Monaco offers 25% off Sale via coupon code ""STRATFRESH"".
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 2/18 23:59.
$89.25 $175.00
Club Monaco Deeyone Sweater
$81.75 $145.00
Club Monaco Carlola Top
$36.75 $89.50
Club Monaco Mackenzie Merino Sweater",02/19/2019,02/18/2019,,16,8
ClubMonaco,Expired Last Day: 25% Off Men's Clothing @ Club Monaco,"Club Monaco offers 25% off Men's Clothing via coupon code ""STARTFRESH"".
Free shipping on orders over $150, via coupon code ""FREESHIP"".
$59.25 $139.50
Club Monaco Twill Stitch Raglan Sweater
$74.25 $139.50
Club Monaco Felted Stripe Mockneck Sweater
$74.25 $129.50
Club Monaco Hoodie",02/19/2019,,2,37,12
ClubMonaco,Expired Extra 40% Off Sale @Club Monaco,"Club Monaco offers an extra 40% off Sale.
Free shipping on orders over $150.
Deal ends 2/3
$233.40 $459.50
Jemma Coat
$59.40 $229.50
Club Monaco Arnettie Sweater Dress
$83.40 $175.00
Club Monaco Teenie Sweater",02/03/2019,02/03/2019,42,241,74
ClubMonaco,Expired Extra 10% Off + Extra 40% Off Sweaters and Outwears @Club Monaco,"Club Monaco offers an extra 10% off + Extra 40% Off Sweaters and Outwears via coupon code ""TAKE10"".
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 1/27
$80.46 $188.00
Club Monaco Tinna Sweater
$85.86 $195.00
Club Monaco Rinty Sweater
$188.46 $459.50
Club Monaco Daylina Coat",01/28/2019,01/27/2019,3,19,9
ClubMonaco,Expired Ending Soon: Extra 15% Off +Extra 40% Off Dress Sale @Club Monaco,"Today only!
Club Monaco offers an extra 15% off +Extra 40% Off Dress Sale via coupon code ""TAKE15"".
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 1/23 23:59 PST
$50.49 $198.50
Club Monaco Raemi Sweater Dress
$35.19 $228.00
Club Monaco Tamila Sweater Dress
$50.49 $229.50
Club Monaco Arnettie Sweater Dress",01/24/2019,01/23/2019,78,235,101
ClubMonaco,Expired Last Day: Extra 50% Off Sale @ Club Monaco,"Club Monaco offers extra 50% off sale.
Discout in cart.
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 1/21
$74.50 $198.50
Club Monaco Raemi Sweater Dress
$174.50 $459.50
Club Monaco Daylina Coat
$74.50 $249.50
Club Monaco Santinah Cashmere Sweater",01/22/2019,01/21/2019,480,2037,821
