Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
KateSpade,$99（Org：$328） hayes mini satchel @ kate spade,"Kate spade offers the $89（org：$328） hayes mini satchel.
Get extra 10% Off with $150, via coupon code ""EXTRAEXTRA"".
Free shipping.
Deal ends 6/29.
$99.00 $328.00
Kate Spade hayes small satchel
$99.00 $328.00
Kate Spade hayes small satchel",06/27/2019,06/29/2019,4,20,9
KateSpade,Enjoy an Extra 40% Off on Sale Styles @ Kate Spade,"Kate spade offers enjoy an Extra 40% Off on sale styles via coupon code ""BIGDEAL"".
Free shipping.
Deal ends 7/7.
Hottest
Wallet
Handbags
Shoes&Clothing
Hottest
$171.60 $358.00
Kate Spade rose medium top handle basket bag
Hottest
$146.40 $348.00
Kate Spade nicola bicolor small shoulder bag
Hottest
$167.40 $398.00
Kate Spade heart it marci",06/27/2019,07/07/2019,32,130,83
KateSpade,$79 (Org.329) kate spade eva small satchel sale,"kate spade offers the $79 (org.329) eva small satchel sale.
Free shipping.
Deal ends 6/27 23:59 PST.
$79.00 $329.00
Kate Spade eva small satchel
$79.00 $329.00
eva small satchel
$79.00 $329.00
Kate Spade eva small satchel",06/27/2019,06/27/2019,1,6,4
KateSpade,Extended: Up to 75% Off + 10% Off $150 Flash Sale @ Kate Spade,"Kate spade offers up to 75% off + 10% off your order of $150 flash sale via coupon code ""EXTRAEXTRA"".
Get Bundles,  via coupon code ""MAKEITTWO"".
Free shipping.
Deal ends 6/29.
Hottest
handbags
jewelry
clothing
Hottest
$89.00 $278.00
hayes mini satchel
Hottest
$119.00 $299.00
by the pool camera bag
Hottest
$99.00 $229.00
Kate Spade jazz things up winni",06/27/2019,06/29/2019,208,515,391
KateSpade,25% Off + Extra 10% Off $150+ Bundles @ Kate Spade,"Kate spade offers 25% off Bundles via coupon code ""MAKEITTWO"".
Plus, get extra10% off with $150+ purchase, via coupon code ""EXTRAEXTRA"".
Free shipping.
Deal ends 6/29.
$139.00 $508.00
Get extra 10% Off with $150
Kate Spade newbury lane small loden and cara bundle in peony blush
$139.00 $516.00
Kate Spade newbury lane small loden
$139.00 $478.00
Kate Spade  grove street carli and tellie bundle in warm beige and cement",06/27/2019,06/29/2019,,11,6
KateSpade,Start at $33 handbag @ kate spade,"Kate spade offers start at $33 handbag via coupon code ""BIGDEAL"".
Free shipping.
$33.00 $98.00
Kate Spade hayes street mikey
$33.00 $98.00
Kate Spade hayes street mikey
$108.60 $258.00
hayes street arla",06/27/2019,,1,16,10
KateSpade,Extra 40% Off Clothing Shoes Sale @ Kate Spade,"Kate spade offers a Clothing Shoes Sale extra 40% off via coupon code ""BIGDEAL"".
Free shipping.
Deal ends 7/7.
shoes
clothing
shoes
$117.00 $278.00
Kate Spade coco heels
shoes
$117.00 $278.00
Kate Spade cori mules
shoes
$24.60 $58.00
Kate Spade malta flip-flop sandals",06/27/2019,07/07/2019,12,30,11
KateSpade,Extra 40% Off Wallets & Card Case @ kate spade,"Kate spade offers an extra 40% off Wallets & Card Case via coupon code ""BIGDEAL"".
Free shipping.
Deal ends 7/7.
$24.60 $58.00
Kate Spade nicola bicolor cardholder
$41.40 $98.00
Kate Spade blake street dot gabe
$21.00 $58.00
Kate Spade intarsia scallop cardholder",06/27/2019,07/07/2019,7,30,14
KateSpade,$99（Org：$329） kate spade west street kenway bag,"Kate spade offers the $99（org：$329）west street kenway bag.
Free shipping.
Deal ends 6/29.
$99.00 $329.00
Kate Spade west street kenway
$99.00 $329.00
Kate Spade west street kenway
$129.00 $359.00
west street georgia",06/27/2019,06/29/2019,,7,3
KateSpade,$89（Org：$299） Reversible tote @ kate spade,"Kate spade offers the $89（org：$299） Reversible tote.
Free shipping.
Deal ends 6/29.
$89.00 $299.00
lakeland drive marina
$89.00 $299.00
Kate Spade lakeland drive marina
$89.00 $299.00
Kate Spade lakeland drive marina",06/27/2019,06/29/2019,,15,2
KateSpade,Up to 75% Off kate spade animal collections,"Kate spade offers up to 75% off animal collections.
Free shipping.
Deal ends 6/29.
$99.00 $329.00
star bright owl mini hadlee
$99.00 $329.00
Kate Spade star bright owl tomi
$89.00 $199.00
Kate Spade jazz things up neda",06/27/2019,06/29/2019,2,8,3
KateSpade,Extra 40% Off Jewelry sale @ kate spade,"Kate spade offers an extra 40% off Jewelry sale via coupon code ""BIGDEAL"".
Free shipping.
Deal ends 7/7.
$24.60 $58.00
Kate Spade symbols spade floral mini pendant
$24.60 $58.00
Kate Spade symbols spade floral slider bracelet
$18.60 $52.00
Kate Spade scrunched scallops pave star bracelet",06/27/2019,07/07/2019,9,20,10
KateSpade,Expired $99 Org.$298 kate spade west street abby today's deal,"kate spade offers the $119 org.$399 west street abby today's deal.
Free shipping.
Deal ends 6/26 23:59 PST
$99.00 $298.00
Kate Spade carter kylie
$99.00 $298.00
Kate Spade carter kylie",06/27/2019,06/26/2019,,3,2
KateSpade,Up to 75% Off kate spade jewelry sale,"Kate spade offers up to 75% off jewelry sale.
Free shipping.
Deal ends 6/29.
$29.00 $68.00
Kate Spade shore thing pave crab pendant
$29.00 $68.00
scenic route cactus mini pendant
$29.00 $68.00
Kate Spade by the pool pave pineapple mini pendant",06/27/2019,06/29/2019,1,12,3
KateSpade,Expired $119 Org.$399 kate spade west street abby today's deal,"kate spade offers the $119 org.$399 west street abby today's deal.
Free shipping.
Deal ends 6/25 23:59 PST.
$119.00 $399.00
Kate Spade west street abby
$119.00 $399.00
Kate Spade west street abby",06/25/2019,06/25/2019,1,1,
KateSpade,Extra 40% Off Nicola collections @ kate spade,"Kate spade offers an extra 40% off Nicola collections via coupon code ""BIGDEAL"".
Free shipping.
Deal ends 7/7.
$146.40 $348.00
Kate Spade nicola bicolor small shoulder bag
$24.60 $58.00
Kate Spade nicola bicolor cardholder
$171.60 $358.00
Kate Spade rose medium top handle basket bag",06/25/2019,07/07/2019,12,30,13
KateSpade,Expired $99（Org：$379） magnolia street small mina @ kate spade,"kate spade offers the $99（org：$379） magnolia street small mina.
Free shipping.
Deal ends 6/24 23:59 PST.
$99.00 $379.00
Kate Spade magnolia street small mina
$99.00 $379.00
Kate Spade magnolia street small mina
$99.00 $379.00
Kate Spade magnolia street small mina",06/25/2019,06/24/2019,1,3,4
KateSpade,$119（Org：298） carter kylie @ kate spade,"Kate spade offers the $119（org：298） carter kylie.
Free shipping.
Deal ends 6/29.
$119.00 $298.00
Kate Spade carter kylie
$119.00 $298.00
Kate Spade carter kylie",06/24/2019,06/29/2019,,4,
KateSpade,Start at $12 Acceccsories sale @ kate spade,"Kate spade offers start at $12 Acceccsories sale.
Free shipping.
$12.00 $28.00
Kate Spade sam double sticker pocket
$54.00 $128.00
Kate Spade margaux phone crossbody
$56.40 $118.00
Kate Spade marker floral embroidery trilby",06/23/2019,,1,6,
KateSpade,Expired $69（Org. $249） Tote bag @ kate spade,"kate spade offers the $69（org. $249） Tote bag.
Free shipping.
Deal ends 6/20 23:59 PST.
$69.00 $249.00
Kate Spade dawn medium satchel
$69.00 $249.00
Kate Spade dawn medium satchel
$69.00 $249.00
Kate Spade dawn medium satchel",06/20/2019,06/20/2019,,2,2
KateSpade,Expired Up To 75% Off+10% Off Wallets @ kate spade,"Kate spade offers wallets up to 75% off.
Plus，10% off your order of $150+ via coupon code ""EXTRAEXTRA"".
Free shipping.",06/20/2019,,2,7,5
KateSpade,Expired $79（Org：$279） Logo tote @ kate spade,"kate spade offers the $79（org：$279） Logo tote.
Free shipping.
Deal ends 6/19 23:59 PST.
$79.00 $279.00
Kate Spade ash street logo triple compartment tote
$79.00 $279.00
Kate Spade ash street logo triple compartment tote
$79.00 $279.00
Kate Spade ash street logo triple compartment tote",06/19/2019,06/19/2019,2,3,2
