End_date,Title,Description,Posted_date,Comments_count,Bookmarks_count,Shares_count,Posted_year,Posted_month,Posted_month_year,End_year,End_month,End_month_year
2014-01-02,Expired Nike Men's New Master Saturday Jacket / Expired Nike Men's Free Trainer 7.0 NRG Shoes / Expired Nike Men's Logo Track Jacket (large sizes) / Expired Nike Women's Studio Wrap Training Shoes / Expired Nike Men's LeBron Crest Grandstand Jacket / Expired Nike Women's Heathered V-Neck Tennis Dress / Expired $62.98 Nike Men's Lunar Force 1 QS Shoes / Expired Nike Men's Free Trainer 3.0 Camo Training Shoes,"Nike offers the Nike Men's New Master Saturday Jacket in Black/Hyper Blue for $149.97.
Coupon code ""MOVEBETTER"" drops it to $112.48.
Plus, get free two-day shipping via coupon code ""WINTER2DAY"". (Select two-day shipping.)
Deal expires 1/2. / Nike offers the Nike Men's Free Trainer 7.0 NRG Shoes in Black/Vivid Pink for $99.97.
Coupon code ""MOVEBETTER"" drops it to $74.98 with $8 shipping
Deal expires 1/2. / Nike offers the Nike Men's Logo Track Jacket in Prize Blue/White for $39.97.
Coupon code ""MOVEBETTER"" drops it to $29.98 with $8 shipping
Deal expires 1/2. / Nike offers the Nike Women's Studio Wrap Training Shoes in Armory Slate or Distance Blue for $34.97.
Coupon code ""MOVEBETTER"" drops it to $26.23 with $8 shipping
Deal expires 1/2. / Nike offers its Nike Men's LeBron Crest Grandstand Jacket in Gray or Red for $67.47 via coupon code ""MOVEBETTER"" with $8 for shipping 
Deal ends 1/2.  / Nike offers its Nike Women's Heathered V-Neck Tennis Dress for in Dark Armory Blue or Fusion Red for $41.23 via coupon code ""MOVEBETTER"" with $8 for shipping 
Deal ends 1/2. / Nike offers its Nike Men's Lunar Force 1 QS Shoes for $83.97.
Coupon code ""MOVEBETTER"" drops it to $62.98 with $8 for shipping.
Deal expires 1/2. / Nike offers Nike Men's Free Trainer 3.0 Camo Training Shoes in two colors,for $89.97.
Coupon code ""MOVEBETTER"" drops it to $67.48.
Free two-day shipping via coupon code ""WINTER2DAY"".
Deal expires 1/2.",2013-12-22,1.0,2.0,0.0,2013,12,2013-12,2013,1,2013-01
2013-06-18,Expired Up to 60% off Clearance items + Free Shipping on orders over $75 @Nike,"Nike Store offers Up to 60 % off Clearance items 
Free Shipping on orders over $75 with coupon code: MATCHPOINT 
Deal expires 6/18.
Dealmoon Recommend:
 NIKE Free Run+ 3 Men's Running Shoes for $79.97 with free shipping
Jordan Aero Mania Men's Basketball Shoes for $79.97 (was $120) with free shipping
Jordan Flight Luminary Men's Shoes for $84.97 (was $120) with free shipping  
Jordan CP3.VI Men's Basketball Shoes for $99.97 (was $125) with free shipping",2013-06-08,9.0,0.0,0.0,2013,6,2013-06,2013,6,2013-06
2013-08-20,Expired Extra 20% off Clearance items at Nike,"Nike offers an extra 20% off clearance items via coupon code ""XTRAIN"", with prices starting at $1.97 after the coupon.
Shipping starts at $8. Free shipping on orders of $100 or more when you become a Nike member. (Kindly sign up to become a Nike Member during checkout for free.)
Deal expires 8/20.",2013-08-09,3.0,0.0,0.0,2013,8,2013-08,2013,8,2013-08
2013-12-02,Expired Nike Men's Zoom Wildhorse Running Shoes / Expired Nike Men's Federer Premier Tennis Jacket / Expired Nike Women's Livestrong Free 4.0 V3 Running Shoes / Expired TomTom Nike+ GPS Watch / Expired Nike Men's Tennis Classic AC Mesh Shoes / Expired Nike Men's Air Veer Premium Shoes / Expired Nike Women's Air Max 1 Premium Shoes / Expired Nike Men's Therma-Fit Hero Hoodie,"Nike offers the Nike Men's Zoom Wildhorse Running Shoes in Prize Blue/Total Orange/Flash Lime for $48.73 via coupon code ""MOVEMORE""
Free shipping via coupon code ""JUSTDOIT""
Deal expires 12/2. / Nike offers its Nike Men's Federer Premier Tennis Jacket for $59.98 via coupon code ""MOVEMORE"" with free shipping 
Deal ends 12/2. / Nike offers the Nike Women's Livestrong Free 4.0 V3 Running Shoes in Athracite/Vivid Pink/Varsity for $41.93 via coupon code ""MOVEMORE""
Free shipping via coupon code ""JUSTDOIT""
Deal expires 12/2. / Nike Store offers its TomTom Nike+ SportWatch GPS  model: WM0097-006, for $89.99 via coupon code MOVEMORE and  coupon code JUSTDOIT for free shipping.  
Deal ends 12/2. / Nike offers the Nike Men's Tennis Classic AC Mesh Shoes in Obsidian/Light British Tan/White for $47.97.
Coupon code ""MOVEMORE"" drops it to $35.98
Free shipping via coupon code ""JUSTDOIT""
Deal expires 12/2. / Nike offers the Nike Men's Air Veer Premium Shoes in Black/Wolf Grey for $74.98 via coupon code ""MOVEMORE""
Free shipping via coupon code ""JUSTDOIT""
Deal expires 12/2. / Nike offers the Nike Women's Air Max 1 Premium Shoes in Armory Navy/Rugged Orange-Metallic Luster for $94.97.
Coupon code ""MOVEMORE"" drops it to $71.23
Free shipping via coupon code ""JUSTDOIT""
Deal expires 12/2. / Nike offers the Nike Men's Therma-Fit Hero Hoodie in three colors for $44.98 via coupon code ""MOVEMORE""
Free shipping via coupon code ""JUSTDOIT""
Deal expires 12/2.",2013-11-22,1.0,17.0,0.0,2013,11,2013-11,2013,12,2013-12
2013-12-03,Expired Up to 33% Off+extra 25% OFF Nike Jordan Men's Apparel and Footwear / Expired Nike Boys' Rio II Warm-Up Jacket / Expired Nike Girls' KO 2.0 Full-Zip Hoodie / Expired Nike Girls' Free 5.0 Running Shoes,"Nike offers up to 33% off select clearance men's Jordan apparel, footwear, and more
Plus an extra 25% off with code MOVEMORE
Deal ends 12/3. / Nike offers the Nike Boys' Rio II Warm-Up Jacket in Dark Green or Scarlet Red for $18.73 via coupon code ""MOVEMORE"" 
Free shipping via coupon code ""JUSTDOIT""
Deal expires 12/3. / Nike offers the Nike Girls' KO 2.0 Full-Zip Hoodie in Blue Hero/Arctic Green/Arctic Green for $34.97.
Coupon code ""MOVEMORE"" drops it to $26.23
Free shipping via coupon code ""JUSTDOIT""
Deal expires 12/3. / Nike offers the Nike Girls' Free 5.0 Running Shoes in Fusion Pink or Distance Blue for $37.48 via coupon code ""MOVEMORE""
Free shipping via coupon code ""JUSTDOIT""
Deal expires 12/3.",2013-11-26,62.0,19.0,0.0,2013,11,2013-11,2013,12,2013-12
2013-12-20,Expired Free shipping sitewide Nike sale,"Nike offers free shipping sitewide via coupon code ""JUSTDOIT"".
Deal ends 12/20.",2013-12-13,0.0,0.0,0.0,2013,12,2013-12,2013,12,2013-12
2013-12-23,Expired Up to 60% OFF Clearance Sale @ Nike / Expired $54.97 Nike Men's Free 4.0 Running Shoes / Expired Up to 40% off + free shipping Nike Clearance Sale @ Nike Store / Expired $59.97 Nike Men's Therma-Fit Hero Hoodie,"Nike offers up to 60% off select apparel, footwear, and more in its clearance section.
Free shipping over $75
Deal expires 12/23 at 12:59 pm ET. / Nike offers its Nike Men's Free 4.0 Running Shoes for $54.97.
Coupon code ""JUSTDOIT"" bags free shipping.
Deal expires 12/23 at 1 pm ET. / Nike offers up to 40% off select men's, women's, and kids' clearance apparel, shoes, and accessories as low as $1.97.
Plus, coupon code ""JUSTDOIT"" yields free shipping.
Deal expires 12/23. / Nike offers its Nike Men's Therma-Fit Hero Hoodie in three colors for $59.97.
Plus, coupon code ""JUSTDOIT"" bags free shipping.
Deal expires 12/23.",2013-11-11,39.0,27.0,0.0,2013,11,2013-11,2013,12,2013-12
2013-12-24,Expired Up to 20% Off Just Reduced Styles @ Nike Store,"Nike Store offers up to 20% off Just Reduced Styles.
Free shipping over $75 purchase
Deal expires 12/24.",2013-12-18,4.0,3.0,0.0,2013,12,2013-12,2013,12,2013-12
2014-01-02,Expired Extra 25% off on Everything in Clearance @ Nike / Expired Nike Men's Sky Stepper Shoes / Expired Nike Women's Soccer Warm-Up Jacket / Expired Nike Women's Free 4.0 Running Shoes / Expired Nike Men's LunarFlash+ Running Shoes / Expired Nike Unisex Flyknit Trainer+ Running Shoes,"Ending Soon!
Nike offers up to 60% off and an extra 25% off everything in clearance. via coupon code ""MOVEBETTER"".
Free shipping on $75+ with code WINTER2DAY
Deal expires 1/2/2014. / Nike offers the Nike Men's Sky Stepper Shoes in Black/Metallic Silver-Wolf Grey or Tropical Teal/Mid Navy-White for $44.98 via coupon code ""MOVEBETTER"" with $8 for shipping.
Deal expires 1/2. / Nike offers the Nike Women's Soccer Warm-Up Jacket in Fusion Red/Black/Fusion Red for $33.73 via coupon code ""MOVEBETTER"" with $8 for shipping.
Deal expires 1/2. / Nike Store offers the Nike Women's Free 4.0 Running Shoes in Club Pink/Black/Vintage Green for $69.97.
Coupon code ""MOVEBETTER"" drops it to $52.48 with $8 for shipping.
Deal expires 1/2. / Nike Store offers the Nike Men's LunarFlash+ Running Shoes in Volt, Poison Green, or Black for $44.98 via coupon code ""MOVEBETTER"" with $8 for shipping.
Deal expires 1/2. / Nike offers Nike Unisex Flyknit Trainer+ Running Shoes in four colors,for $89.97.
Coupon code ""MOVEBETTER"" drops them to $67.48 + $8 for shipping.
Deal expires 1/2.",2013-12-29,34.0,17.0,0.0,2013,12,2013-12,2014,1,2014-01
2015-01-04,Expired Nike Light Speed Men's Training Jacket / Expired Nike Men's Lunar 180 Trainer SC Sneakers / Expired Nike Lebron 11 Lifestyle / Expired Nike Logo Men's Track Jacket / Expired Nike Fingertrap Max Bo Jax,"Nike Store offers the Nike Light Speed Men's Training Jacket in 4 colors for $44.98 via coupon code ""HATTRICK"".
Shipping fee is $8.
Deal ends 1/4. / Nike Store offers the Nike Men's Lunar 180 Trainer SC Sneakers for $48.73 via coupon code ""HATTRICK"".
Shipping fee is $8.
Deal ends 1/4. / Nike Store offers the Nike Lebron 11 Lifestyle for $67.48 via coupon code ""HATTRICK"".
Shipping fee is $8.
Deal ends 1/4. / Nike Store offers the Nike Logo Men's Track Jacket for $29.98 via coupon code ""HATTRICK"".
Shipping fee is $8.
Deal ends 1/4. / Nike Store offers the Nike Fingertrap Max Bo Jax for $78.73 via coupon code ""HATTRICK"".
Free shipping.
Deal ends 1/4.",2014-12-23,4.0,45.0,0.0,2014,12,2014-12,2014,1,2014-01
