Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
UnderArmour,Up to 40% Off Semi-Annual Event @ Under Armour,"Under Armour offers up to 40% off on Semi-Annual Event; 30% Off $100,  via coupon code ""JUNE30"".
Free shipping on orders over $60.
Exclusions apply.
Deal ends 6/28.
$18.99 $24.99
Under Armour Women's UA Play Up Shorts Jacquard Inset | Under Armour US
$22.99 $30.00
Under Armour Women's UA 24/7 Sports Bralette Bra | Under Armour US
$21.99 $28.00
Under Armour Women's Armour® Mid Sports Bra | Under Armour US",06/27/2019,06/28/2019,7,68,44
UnderArmour,Expired Up to 25% Off Select Polos & Shirts: Just In Time For Fathers Day @ Under Armour,"Under Armour offers up to 25% off Select Polos & Shirts: Just In Time For Fathers Day.
Free shipping on orders over $60.
Deal ends 6/16.
$53.99 $89.99
Under Armour Men's UA Storm Bora Jacket | Under Armour US
$30.99 $40.00
Under Armour Men's UA Fish Tech Polo | Under Armour US
$14.99 $25.00
Under Armour Men's UA Tech™ 2.0 Printed Short Sleeve | Under Armour US",06/08/2019,06/16/2019,1,2,6
UnderArmour,Expired Extra 20% Off Outlet Styles @ Under Armour,"Under Armour offers an extra 20% off on Outlet Styles via coupon code ""TRAINING20"".
Free shipping on orders over $60.
Women
Leggings
Men
Women
$21.59 $35.00
Under Armour Women's UA Seamless Longline Sports Bra | Under Armour US
Women
$27.99 $45.00
Under Armour Women's UA Tapered Slouch Pants | Under Armour US
Women
$31.19 $50.00
Under Armour Women's ColdGear® Armour Leggings | Under Armour US",06/07/2019,,12,65,23
UnderArmour,Expired Up to 40% Off Backpack On Sale @ Under Armour,"Under Armour offers up to 40% off on Backpack, 30% off $100 on Summer Sale via coupon code ""MAY30"".
Free shipping on orders over $60.
$44.99 $74.99
Under Armour Women's UA Downtown Pack | Under Armour US
$43.99 $54.99
Under Armour UA Hustle 3.0 Backpack | Under Armour US
$74.19 $175.00
Under Armour Men's UA Waterproof Rolltop | Under Armour US",06/05/2019,,8,23,18
UnderArmour,Expired 30% Off $100 Summer Sale @ Under Armour,"Under Armour offers 30% off $100 on Summer Sale via coupon code ""MAY30"".
Free shipping.
Exclusions apply.
Deal ends 5/28.
Women
Leggings
Women
$14.39 $35.00
Under Armour Women's UA Be Seen Graphic Crop Short Sleeve | Under Armour US
Women
$19.19 $30.00
Under Armour Women's UA Asymmetrical Sportlette Bra | Under Armour US
Women
$18.99 $30.00
Under Armour Women's UA Whisperlight Strappy Tank | Under Armour US",05/28/2019,05/28/2019,10,43,27
UnderArmour,Expired Extra 20% Off Outlet Styles @ Under Armour,"Under Armour offers an outlet styles, extra 20% off, via coupon code ""MAY20"".
Free shipping on orders over $60.
Deal ends 5/21.
Women
Men
Leggings
Women
$21.99 $30.00
Under Armour Women's UA Sports Bralette Bra | Under Armour US
Women
$16.80 $35.00
Under Armour Women's UA Graphic Sport Bralette | Under Armour US
Women
$21.59 $35.00
Under Armour Women's UA Favorite Cotton Everyday Long Sports Bra | Under Armour US",05/22/2019,05/21/2019,99,665,483
UnderArmour,Expired Extra 20% Off Under Armour Legging On Sale,"Under Armour offers an extra 20% off on Legging, via coupon code ""MAY20"".
Free shipping on orders over $60. Or, free shipping on orders over $30 via coupon code ""DEALMOON19"".
Deal ends 5/21.
$78.39 $130.00
Under Armour Women's UA Perpetual Powerprint Printed Leggings | Under Armour US
$28.80 $60.00
Under Armour Women's UA Unstoppable Ribbed Leggings | Under Armour US
$21.59 $35.00
Under Armour Women's UA Favorite Big Logo Leggings | Under Armour US",05/22/2019,05/21/2019,9,58,35
UnderArmour,Expired Extra 20% Off Kids OUTLET Items @ Under Armour,"Under Armour offers an extra 20% off Kids OUTLET Items via coupon code ""MAY20"".
Free shipping on orders over $30 via coupon code ""DEALMOON19"".
Deal ends 5/21.
Kids' Outlet
Girls Boys
$12.00 $20.00
Under Armour Boys' UA Tech™ Big Logo Solid T-Shirt | Under Armour US
$14.39 $29.99
Under Armour Girls' UA Ignite VIII Slides | Under Armour US
$14.39 $29.99
Under Armour Girls' UA Softball Slider | Under Armour US",05/14/2019,05/21/2019,,6,8
UnderArmour,Expired Extra 20% Off Women's Outlet Sale @ Under Armour,"Under Armour offers an extra 20% off Women's Outlet Sale via coupon code ""MAY20"".
Free shipping on orders over $60.
Deal ends 5/12.
$42.39 $80.00
Under Armour Women's UA Misty Dress | Under Armour US
$18.00 $30.00
Under Armour Women's UA 24/7 Sports Bralette Bra | Under Armour US
$16.80 $35.00
Under Armour Women's UA Graphic Sport Bralette | Under Armour US",05/12/2019,05/12/2019,2,27,13
UnderArmour,Expired Extra 20% Off Under Armour Sports Tops On Sale,"Under Armour offers an extra 20% off on Sports Tops via coupon code ""MAY20"".
Free shipping on orders over $60.
Deal ends 5/12.
$12.79 $20.00
Under Armour Women's UA Crossback Tank | Under Armour US
$14.39 $29.99
Under Armour Women's UA Threadborne™ High Neck Tank | Under Armour US
$15.19 $25.00
Under Armour Men's UA Team Issue Wordmark Short Sleeve | Under Armour US",05/11/2019,05/12/2019,1,9,6
UnderArmour,Expired 25% Off Womens Gear + Extra 20% Off Sale Items @ Under Armour,"Under Armour offers an 25% off select womens gear 
An extra 20% off sale items via coupon code ""MAY20"".
Free shipping on orders over $60.
Deal ends 5/12
Select Women's Gear
Outlet
Select Women's Gear
$27.00 $45.00
Under Armour Women's HeatGear® Armour Leggings | Under Armour US
Select Women's Gear
$18.00 $30.00
Under Armour  Sports Bralette Bra
Select Women's Gear
$14.99 $24.99
Under Armour Tech™ Twist T-Shirt",05/10/2019,05/12/2019,3,50,22
UnderArmour,Expired 25% Off Women's Gear On Sale @ Under Armour,"Under Armour offers 25% off on Women's Gear; 20% Off $100,  via coupon code ""OUTLET20"".
Free shipping on orders over $60.
Deal ends 5/6.
$22.50 $30.00
Under Armour Women's UA Wordmark Strappy Sports Bralette Bra | Under Armour US
$22.50 $30.00
Under Armour Women's UA 24/7 Sports Bralette Bra | Under Armour US
$37.50 $50.00
Under Armour Women's HeatGear® Armour Mesh Ankle Crop | Under Armour US",05/07/2019,05/06/2019,3,55,18
UnderArmour,Expired Up to 40% Off Outlet Sale @ Under Armour,"Under Armour offers Outlet Sale, up to 40% off.
Free shipping on orders over $60.
$30.99 $40.00
Under Armour Women's UA Vanish Seamless Keyhole Short Sleeve | Under Armour US
$18.74 $24.99
Under Armour Women's UA Tech™ Short Sleeve V-Neck Marble Jacquard | Under Armour US
$56.99 $75.00
Under Armour Women's UA Breathelux High Sports Bra | Under Armour US",05/03/2019,,,60,38
UnderArmour,Expired $32.99 Under Armour Hustle 3.0 Backpack,"Under Armour offers the Under Armour Hustle 3.0 Backpack for $32.99.
Free shipping on orders over $60.",04/26/2019,,,6,12
UnderArmour,Expired Extra 25% Off Select Gear @ Under Armour,"Under Armour offers an extra 25% off select gear.
Price as marked.
Free shipping on orders over $60.
Deal ends 4/21
$33.99 $45.00
Women's HeatGear® Armour Ankle Crop | Under Armour US
$18.99 $24.99
Women's UA Play Up 2.0 Shorts | Under Armour US
$23.99 $31.99
Men's HeatGear® Armour Compression ¾ Leggings | Under Armour US",04/17/2019,04/21/2019,2,17,7
UnderArmour,Expired Up to 40% Off Outlet Sale @ Under Armour,"Under Armour offers Outlet Sale, up to 40% off.
Free shipping on orders over $60.
$59.99 $65.00
Under Armour Women's UA Ripple MTL Sportstyle Shoes | Under Armour US
$15.00 $25.00
Under Armour Men's UA Branded BL Short Sleeve T-Shirt | Under Armour US
$15.00 $25.00
Under Armour Men’s UA Launch ArmourVent™ Cap | Under Armour US",04/15/2019,,20,156,121
UnderArmour,Expired New Arrival The Rock x Under Armour Launch @ Under Armour,"Under Armour offers new arrival The Rock x Under Armour Launch.
Free shipping on orders over $60.
$80.00
Under Armour Men's Project Rock 60 Bag | Under Armour US
$120.00
Under Armour Men's Project Rock 1 Training Shoes | Under Armour US
$35.00
Under Armour Men's Project Rock HeatGear® Armour Sleeveless | Under Armour US",04/01/2019,,1,12,9
UnderArmour,Expired Extra 20% Off Additional Saving On Outlet @ Under Armour,"Under Armour offers 20% off with $100+ purchase via coupon code ""SPRING20"".
Free shipping on orders over $60.
Deal ends 3/20.
$26.99 $35.00
Under Armour Women's UA Pindot Open Back Long Sleeve | Under Armour US
$21.99 $28.00
Under Armour Women's Armour® Mid Sports Bra | Under Armour US
$45.99 $59.99
Under Armour Women's UA Links Leggings",03/21/2019,03/20/2019,11,84,62
UnderArmour,Expired Extra 20% Off Women Bottoms On Sale @ Under Armour,"Under Armour offers an extra 20% off with $100 Women Bottoms via coupon code ""SPRING20"".
Free shipping on orders over $60.
Deal ends 3/19 23:59 PST.
$22.99 $45.00
Under Armour Women's UA Rival Fleece Pants | Under Armour US
$25.99 $50.00
Under Armour Women's UA Favorite Terry Tapered Slouch Crop | Under Armour US
$25.99 $50.00
Under Armour Women's Armour Fleece® Open Pants | Under Armour US",03/19/2019,03/19/2019,,3,
UnderArmour,Expired New Arrival Vanish Collection @ Under Armour,"Under Armour offers new arrival Vanish Collection.
Free shipping on orders over $60.
$75.00
Under Armour Women's UA Vanish Pleated Crop | Under Armour US
$40.00
Under Armour Women's UA Vanish Low Sports Bra | Under Armour US
$40.00
Under Armour Women's UA Vanish Seamless Keyhole Spacedye Short Sleeve | Under Armour US",03/19/2019,,5,49,11
